docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S0378112713005288-1948	2	1	Quantity			134	137	249	252	T1-1	4.1
S0378112713005288-1948	2	1	MeasuredProperty		{'HasQuantity': 'T1-1'}	122	131	237	246	T2-1	F(3, 8.9)
S0378112713005288-1948	2	1	MeasuredEntity		{'HasProperty': 'T2-1'}	67	88	182	203	T4-1	significant variation
S0378112713005288-1948	2	2	Quantity			143	147	258	262	T1-2	0.03
S0378112713005288-1948	2	2	MeasuredProperty		{'HasQuantity': 'T1-2'}	139	140	254	255	T3-2	p
S0378112713005288-1948	2	2	MeasuredEntity		{'HasProperty': 'T3-2'}	67	120	182	235	T4-2	significant variation in total regeneration densities
S0378112713005288-1948	3	3	Quantity	%		0	3	265	268	T1-3	20%
S0378112713005288-1948	3	3	MeasuredProperty		{'HasQuantity': 'T1-3'}	47	89	312	354	T4-3	variation between the different site types
S0378112713005288-1948	3	3	MeasuredEntity		{'HasProperty': 'T4-3'}	11	35	276	300	T3-3	total observed variation
S0378112713005288-1948	4	4	Quantity			127	133	483	489	T1-4	< 0.01
S0378112713005288-1948	4	4	MeasuredProperty		{'HasQuantity': 'T1-4'}	125	126	481	482	T2-4	p
S0378112713005288-1948	4	4	MeasuredEntity		{'HasProperty': 'T2-4'}	68	89	424	445	T4-4	significantly greater
S0378112713005288-1948	6	5	Quantity			117	121	766	770	T1-5	1.75
S0378112713005288-1948	6	5	MeasuredProperty		{'HasQuantity': 'T1-5'}	104	114	753	763	T3-5	F(1, 3.95)
S0378112713005288-1948	6	5	MeasuredEntity		{'HasProperty': 'T3-5'}	0	51	649	700	T2-5	No significant difference in regeneration densities
S0378112713005288-1948	6	6	Quantity			127	131	776	780	T1-6	n.s.
S0378112713005288-1948	6	6	MeasuredProperty		{'HasQuantity': 'T1-6'}	123	124	772	773	T4-6	p
S0378112713005288-1948	6	6	MeasuredEntity		{'HasProperty': 'T4-6'}	0	51	649	700	T3-6	No significant difference in regeneration densities
