docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S0167880913001229-1304	1	1	Quantity	Mg ha−1 year−1		111	137	111	137	T1-1	up to 11.25 Mg ha−1 year−1
S0167880913001229-1304	1	1	MeasuredEntity		{'HasQuantity': 'T1-1'}	87	106	87	106	T3-1	organic fertilisers
S0167880913001229-1304	1	2	Quantity			329	333	329	333	T1-2	0.24
S0167880913001229-1304	1	2	MeasuredProperty		{'HasQuantity': 'T1-2'}	325	326	325	326	T3-2	p
S0167880913001229-1304	1	2	MeasuredEntity		{'HasProperty': 'T3-2'}	143	169	143	169	T2-2	no significant differences
S0167880913001229-1304	2	3	Quantity	cm		103	110	439	446	T1-3	0–10 cm
S0167880913001229-1304	2	3	MeasuredProperty		{'HasQuantity': 'T1-3'}	111	116	447	452	T4-3	depth
S0167880913001229-1304	2	3	MeasuredEntity		{'HasProperty': 'T4-3'}	117	120	453	456	T3-3	SOC
S0167880913001229-1304	2	4	Quantity			127	131	463	467	T1-4	0.18
S0167880913001229-1304	2	4	MeasuredProperty		{'HasQuantity': 'T1-4'}	122	124	458	460	T3-4	r2
S0167880913001229-1304	2	4	MeasuredEntity		{'HasProperty': 'T3-4'}	21	41	357	377	T2-4	positive correlation
S0167880913001229-1304	2	5	Quantity			135	141	471	477	T1-5	< 0.01
S0167880913001229-1304	2	5	MeasuredProperty		{'HasQuantity': 'T1-5'}	133	134	469	470	T2-5	p
S0167880913001229-1304	2	5	MeasuredEntity		{'HasProperty': 'T2-5'}	21	41	357	377	T3-5	positive correlation
S0167880913001229-1304	3	6	Quantity			91	94	571	574	T1-6	two
S0167880913001229-1304	3	6	MeasuredEntity		{'HasQuantity': 'T1-6'}	95	112	575	592	T2-6	lower soil depths
S0167880913001229-1304	4	7	Quantity	cm		17	24	670	677	T1-7	0–40 cm
S0167880913001229-1304	4	7	MeasuredProperty		{'HasQuantity': 'T1-7'}	25	30	678	683	T3-7	depth
S0167880913001229-1304	4	7	MeasuredEntity		{'HasProperty': 'T3-7'}	31	34	684	687	T4-7	SOC
