docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S0019103513005058-4175	2	1	Quantity	wt.%		19	31	141	153	T1-1	1.0–1.7 wt.%
S0019103513005058-4175	2	1	MeasuredProperty		{'HasQuantity': 'T1-1'}	32	35	154	157	T3-1	SO4
S0019103513005058-4175	2	2	Quantity	wt.%		56	64	178	186	T1-2	1.3 wt.%
S0019103513005058-4175	2	2	MeasuredProperty		{'HasQuantity': 'T1-2'}	65	80	187	202	T3-2	soluble sulfate
S0019103513005058-4175	3	1	MeasuredEntity		{'HasProperty': 'T3-1'}	88	99	354	365	T4-1	global soil
S0019103513005058-4175	3	2	MeasuredEntity		{'HasProperty': 'T3-2'}	95	99	361	365	T4-2	soil
S0019103513005058-4175	3	3	Quantity	wt.%		40	57	306	323	T1-3	average ∼6.8 wt.%
S0019103513005058-4175	3	3	MeasuredProperty		{'HasQuantity': 'T1-3'}	68	71	334	337	T3-3	SO3
S0019103513005058-4175	3	3	MeasuredEntity		{'HasProperty': 'T3-3'}	88	99	354	365	T4-3	global soil
S0019103513005058-4175	3	4	Quantity	wt.%		73	81	339	347	T1-4	2.7 wt.%
S0019103513005058-4175	3	4	MeasuredProperty		{'HasQuantity': 'T1-4'}	82	83	348	349	T3-4	S
S0019103513005058-4175	3	4	MeasuredEntity		{'HasProperty': 'T3-4'}	88	99	354	365	T4-4	global soil
S0019103513005058-4175	4	5	Quantity	centimeters		54	81	549	576	T1-5	top few tens of centimeters
S0019103513005058-4175	4	5	MeasuredEntity		{'HasQuantity': 'T1-5'}	89	93	584	588	T3-5	soil
S0019103513005058-4175	4	6	Quantity	wt.%		97	106	592	601	T1-6	∼4.4 wt.%
S0019103513005058-4175	4	6	MeasuredProperty		{'HasQuantity': 'T1-6'}	24	46	519	541	T3-6	average sulfur content
S0019103513005058-4175	4	6	MeasuredEntity		{'HasProperty': 'T3-6'}	89	93	584	588	T4-6	soil
S0019103513005058-4175	5	7	Quantity	%		58	62	737	741	T1-7	0.1%
S0019103513005058-4175	5	7	MeasuredEntity		{'HasQuantity': 'T1-7'}	70	99	749	778	T3-7	terrestrial volcanic gas flux
