docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S0006322312001096-1177	1	1	Quantity			94	98	94	98	T1-1	1985
S0006322312001096-1177	1	1	MeasuredProperty		{'HasQuantity': 'T1-1'}	79	90	79	90	T3-1	established
S0006322312001096-1177	1	1	MeasuredEntity		{'HasProperty': 'T3-1'}	4	22	4	22	T2-1	Whitehall II study
S0006322312001096-1177	2	2	Quantity			62	70	260	268	T51-2	35 to 55
S0006322312001096-1177	2	2	MeasuredProperty		{'HasQuantity': 'T51-2'}	57	61	255	259	T61-2	aged
S0006322312001096-1177	2	2	MeasuredEntity		{'HasProperty': 'T61-2'}	4	21	202	219	T71-2	target population
S0006322312001096-1177	2	3	Quantity			83	85	281	283	T1-3	20
S0006322312001096-1177	2	3	MeasuredEntity		{'HasQuantity': 'T1-3'}	86	111	284	309	T2-3	civil service departments
S0006322312001096-1177	2	4	Quantity			143	155	341	353	T1-4	1985 to 1988
S0006322312001096-1177	2	4	MeasuredProperty		{'HasQuantity': 'T1-4'}	115	126	313	324	T3-4	recruitment
S0006322312001096-1177	2	4	MeasuredEntity		{'HasProperty': 'T3-4'}	4	21	202	219	T2-4	target population
S0006322312001096-1177	3	5	Quantity			19	22	384	387	T12-5	73%
S0006322312001096-1177	3	5	MeasuredProperty		{'HasQuantity': 'T12-5'}	7	15	372	380	T32-5	response
S0006322312001096-1177	3	5	MeasuredEntity		{'HasProperty': 'T32-5'}	28	34	393	399	T42-5	cohort
S0006322312001096-1177	3	6	Quantity	employees		48	64	413	429	T2-6	10,308 employees
S0006322312001096-1177	3	6	MeasuredEntity		{'HasQuantity': 'T2-6'}	28	34	393	399	T1-6	cohort
S0006322312001096-1177	3	7	Quantity	men		66	74	431	439	T1-7	6895 men
S0006322312001096-1177	3	7	MeasuredEntity		{'HasQuantity': 'T1-7'}	28	34	393	399	T3-7	cohort
S0006322312001096-1177	3	8	Quantity	women		79	89	444	454	T1-8	3413 women
S0006322312001096-1177	3	8	MeasuredEntity		{'HasQuantity': 'T1-8'}	28	34	393	399	T3-8	cohort
S0006322312001096-1177	4	9	Quantity	years		79	106	536	563	T23-9	approximately every 5 years
S0006322312001096-1177	4	9	MeasuredProperty		{'HasQuantity': 'T23-9'}	67	78	524	535	T83-9	taken place
S0006322312001096-1177	4	9	MeasuredEntity		{'HasProperty': 'T83-9'}	39	61	496	518	T93-9	follow-up examinations
S0006322312001096-1177	4	10	Quantity			117	129	574	586	T1-10	1991 to 1993
S0006322312001096-1177	4	10	MeasuredEntity		{'HasQuantity': 'T1-10'}	108	115	565	572	T2-10	phase 3
S0006322312001096-1177	4	11	Quantity			135	139	592	596	T3-11	8815
S0006322312001096-1177	4	11	MeasuredProperty		{'HasQuantity': 'T3-11'}	131	132	588	589	T2-11	n
S0006322312001096-1177	4	11	MeasuredEntity		{'HasProperty': 'T2-11'}	108	115	565	572	T1-11	phase 3
S0006322312001096-1177	4	12	Quantity			151	163	608	620	T2-12	1997 to 1999
S0006322312001096-1177	4	12	MeasuredEntity		{'HasQuantity': 'T2-12'}	142	149	599	606	T1-12	phase 5
S0006322312001096-1177	4	13	Quantity			169	173	626	630	T3-13	7870
S0006322312001096-1177	4	13	MeasuredProperty		{'HasQuantity': 'T3-13'}	165	166	622	623	T2-13	n
S0006322312001096-1177	4	13	MeasuredEntity		{'HasProperty': 'T2-13'}	142	149	599	606	T1-13	phase 5
S0006322312001096-1177	4	14	Quantity			185	197	642	654	T2-14	2003 to 2004
S0006322312001096-1177	4	14	MeasuredEntity		{'HasQuantity': 'T2-14'}	176	183	633	640	T1-14	phase 7
S0006322312001096-1177	4	15	Quantity			203	207	660	664	T2-15	6967
S0006322312001096-1177	4	15	MeasuredProperty		{'HasQuantity': 'T2-15'}	199	200	656	657	T3-15	n
S0006322312001096-1177	4	15	MeasuredEntity		{'HasProperty': 'T3-15'}	176	183	633	640	T1-15	phase 7
S0006322312001096-1177	4	16	Quantity			223	235	680	692	T2-16	2008 to 2009
S0006322312001096-1177	4	16	MeasuredEntity		{'HasQuantity': 'T2-16'}	214	221	671	678	T1-16	phase 9
S0006322312001096-1177	4	17	Quantity			241	245	698	702	T3-17	6761
S0006322312001096-1177	4	17	MeasuredProperty		{'HasQuantity': 'T3-17'}	237	238	694	695	T2-17	n
S0006322312001096-1177	4	17	MeasuredEntity		{'HasProperty': 'T2-17'}	214	221	671	678	T1-17	phase 9
S0006322312001096-1177	6	18	Quantity			17	22	874	879	T1-18	three
S0006322312001096-1177	6	18	MeasuredEntity		{'HasQuantity': 'T1-18'}	23	39	880	896	T2-18	screening cycles
S0006322312001096-1177	6	19	Quantity			260	265	1117	1122	T2-19	three
S0006322312001096-1177	6	19	MeasuredEntity		{'HasQuantity': 'T2-19'}	266	277	1123	1134	T1-19	data cycles
