docId	sentId	annotSet	entLabel	unit	children	sentStartOffset	sentEndOffset	docStartOffset	docEndOffset	entKey	text
S0019103513005058-3917	4	1	Quantity	s−1		66	77	409	420	T1-1	0.02 cm s−1
S0019103513005058-3917	4	1	MeasuredProperty		{'HasQuantity': 'T1-1'}	43	62	386	405	T3-1	deposition velocity
S0019103513005058-3917	4	1	MeasuredEntity		{'HasProperty': 'T3-1'}	81	92	424	435	T2-1	all species
S0019103513005058-3917	4	2	Quantity			99	102	442	445	T1-2	two
S0019103513005058-3917	4	2	MeasuredEntity		{'HasQuantity': 'T1-2'}	103	113	446	456	T2-2	exceptions
S0019103513005058-3917	5	3	Quantity			63	67	521	525	T1-3	zero
S0019103513005058-3917	5	3	MeasuredProperty		{'HasQuantity': 'T1-3'}	11	32	469	490	T3-3	deposition velocities
S0019103513005058-3917	5	3	MeasuredEntity		{'HasProperty': 'T3-3'}	37	51	495	509	T2-3	O2, H2, and CO
S0019103513005058-3917	6	4	Quantity			27	31	586	590	T1-4	zero
S0019103513005058-3917	6	4	MeasuredProperty		{'HasQuantity': 'T1-4'}	32	51	591	610	T3-4	deposition velocity
S0019103513005058-3917	6	4	MeasuredEntity		{'HasProperty': 'T3-4'}	8	19	567	578	T2-4	all species
S0019103513005058-3917	6	5	Quantity			94	98	653	657	T1-5	zero
S0019103513005058-3917	6	5	MeasuredProperty		{'HasQuantity': 'T1-5'}	99	118	658	677	T2-5	deposition velocity
S0019103513005058-3917	6	5	MeasuredEntity		{'HasProperty': 'T2-5'}	8	19	567	578	T3-5	all species
